id,title,description,location,publication,image,slug,date,created_at,updated_at
1,ArtNexus Volume 6,,Mexico City,ArtNexus,assets/uploads/articles/1464410340-30323.jpg,artnexus-volume-6,2007-1-1,2016-05-28 03:39:01,2016-05-28 03:39:01
2,ArtNexus Volume 3,,Mexico City,ArtNexus,assets/uploads/articles/1464410399-24281.jpg,artnexus-volume-3,2003-1-1,2016-05-28 03:39:59,2016-05-28 03:39:59
3,ArtNexus Volume 1,,Mexico City,ArtNexus,assets/uploads/articles/1464410437-41687.jpg,artnexus-volume-1,2002-10-1,2016-05-28 03:40:37,2016-05-28 03:40:37
4,Sierra Madre,Susan Schmidt en la Galería Art Marché,Mexico City,Sierra Madre,assets/uploads/articles/1464410582-71084.jpg,sierra-madre,2002-7-26,2016-05-28 03:43:02,2016-05-28 03:43:02
5,Exposición de Susan Schmidt,,Mexico City,Novedades,assets/uploads/articles/1464410681-39262.jpg,exposicion-de-susan-schmidt,2001-12-8,2016-05-28 03:44:41,2016-05-28 03:44:41
6,Susan Schmidt exhibe obra en México,,Mexico City,Excelsior,assets/uploads/articles/1464410749-25610.jpg,susan-schmidt-exhibe-obra-en-mexico,2001-12-3,2016-05-28 03:45:49,2016-05-28 03:45:49
7,Obra Reciente,,Mexico City,El Sol de México,assets/uploads/articles/1464410790-52573.jpg,obra-reciente,2001-11-28,2016-05-28 03:46:30,2016-05-28 03:46:30
8,Pinturas de Susan Schmidt desde el 28,,Mexico City,Excelsior,assets/uploads/articles/1464410909-69037.jpg,pinturas-de-susan-schmidt-desde-el-28,2001-11-26,2016-05-28 03:48:29,2016-05-28 03:48:29
9,Una muestra que alegraría a Lewis Carrol: inocencia y perversidad en El mundo mágico de Susan Schmidt,,Mexico City,La Crónica de hoy,assets/uploads/articles/1464410974-50384.jpg,una-muestra-que-alegraria-a-lewis-carrol-inocencia-y-perversidad-en-el-mundo-magico-de-susan-schmidt,2000-5-11,2016-05-28 03:49:34,2016-05-28 03:49:34
10,Susan Schmidt,,Mexico City,Excelsior,assets/uploads/articles/1464411013-17383.jpg,susan-schmidt,2000-5-10,2016-05-28 03:50:13,2016-05-28 03:50:13
11,Susan Schmidt expone en México,,Mexico City,Novedades,assets/uploads/articles/1464411113-19078.jpg,susan-schmidt-expone-en-mexico,2000-5-8,2016-05-28 03:51:53,2016-05-28 03:51:53
12,Mundo Mágico,,Mexico City,El Heraldo de México,assets/uploads/articles/1464411147-73854.jpg,mundo-magico,2000-5-7,2016-05-28 03:52:27,2016-05-28 03:52:27
13,"Susan Schmidt Narraciones obsesivas y Cuentos de Hadas, Mundo alucinante de la imaginación",,Mexico City,Casas & Gente No. 145,assets/uploads/articles/1464411191-57001.jpg,susan-schmidt-narraciones-obsesivas-y-cuentos-de-hadas-mundo-alucinante-de-la-imaginacion,2000-5-1,2016-05-28 03:53:11,2016-05-28 03:53:11
14,Los colores del pensamiento de frontera a frontera,,Mexico City,Museo Universitario Contemporaneo de arte,assets/uploads/articles/1464411254-37827.jpg,los-colores-del-pensamiento-de-frontera-a-frontera,1997-1-1,2016-05-28 03:54:14,2016-05-28 03:54:14
15,"Fantasía, Magia y Simbolismo en El Arte de Susan Schmidt",,Mexico City,Visual Revista de Arte,assets/uploads/articles/1464411292-73187.jpg,fantasia-magia-y-simbolismo-en-el-arte-de-susan-schmidt,1996-10-11,2016-05-28 03:54:52,2016-05-28 03:54:52